ParagraphID,N_sentences_total,N_A,N_B,N_C,Pct_A,Pct_B,Pct_C,DominantSentenceCategory
A1,1,0,1,0,0.0,100.0,0.0,B
A2,3,0,2,1,0.0,66.67,33.33,B
A3,7,2,5,0,28.57,71.43,0.0,B
A4,3,0,3,0,0.0,100.0,0.0,B
A5,2,0,1,1,0.0,50.0,50.0,B
A6,3,1,2,0,33.33,66.67,0.0,B
A7,2,1,0,1,50.0,0.0,50.0,A
A8,4,2,2,0,50.0,50.0,0.0,A
A9,1,0,1,0,0.0,100.0,0.0,B
A10,1,0,1,0,0.0,100.0,0.0,B
A11,1,0,1,0,0.0,100.0,0.0,B
A12,3,0,2,1,0.0,66.67,33.33,B
A13,1,0,1,0,0.0,100.0,0.0,B
A14,1,0,1,0,0.0,100.0,0.0,B
A15,1,1,0,0,100.0,0.0,0.0,A
A16,1,1,0,0,100.0,0.0,0.0,A
A17,1,0,1,0,0.0,100.0,0.0,B
A18,1,0,1,0,0.0,100.0,0.0,B
A19,9,2,6,1,22.22,66.67,11.11,B
A20,14,6,6,2,42.86,42.86,14.29,A
A21,2,0,2,0,0.0,100.0,0.0,B
A22,11,4,6,1,36.36,54.55,9.09,B
A23,1,0,1,0,0.0,100.0,0.0,B
A24,1,0,1,0,0.0,100.0,0.0,B
A25,1,1,0,0,100.0,0.0,0.0,A
A26,1,0,0,1,0.0,0.0,100.0,C
A27,1,0,1,0,0.0,100.0,0.0,B
A28,1,0,1,0,0.0,100.0,0.0,B
A29,4,0,4,0,0.0,100.0,0.0,B
A30,1,0,0,1,0.0,0.0,100.0,C
A31,4,0,4,0,0.0,100.0,0.0,B
A32,1,0,1,0,0.0,100.0,0.0,B
A33,1,1,0,0,100.0,0.0,0.0,A
A34,2,1,0,1,50.0,0.0,50.0,A
A35,2,0,2,0,0.0,100.0,0.0,B
A36,1,0,1,0,0.0,100.0,0.0,B
A37,2,0,2,0,0.0,100.0,0.0,B
A38,1,0,1,0,0.0,100.0,0.0,B
A39,1,0,1,0,0.0,100.0,0.0,B
A40,2,1,1,0,50.0,50.0,0.0,A
A41,1,0,1,0,0.0,100.0,0.0,B
A42,5,2,3,0,40.0,60.0,0.0,B
A43,1,0,1,0,0.0,100.0,0.0,B
A44,3,0,3,0,0.0,100.0,0.0,B
A45,8,2,6,0,25.0,75.0,0.0,B
A46,1,0,1,0,0.0,100.0,0.0,B
A47,5,2,3,0,40.0,60.0,0.0,B
A48,2,0,2,0,0.0,100.0,0.0,B
A49,1,1,0,0,100.0,0.0,0.0,A
A50,1,1,0,0,100.0,0.0,0.0,A
A51,2,0,2,0,0.0,100.0,0.0,B
A52,2,1,1,0,50.0,50.0,0.0,A
A53,1,0,0,1,0.0,0.0,100.0,C
A54,1,0,1,0,0.0,100.0,0.0,B
A55,7,3,4,0,42.86,57.14,0.0,B
A56,5,0,3,2,0.0,60.0,40.0,B
A57,1,0,1,0,0.0,100.0,0.0,B
A58,2,0,2,0,0.0,100.0,0.0,B
A59,2,1,0,1,50.0,0.0,50.0,A
A60,1,0,1,0,0.0,100.0,0.0,B
A61,14,2,10,2,14.29,71.43,14.29,B
A62,6,2,3,1,33.33,50.0,16.67,B
A63,2,0,2,0,0.0,100.0,0.0,B
A64,3,0,3,0,0.0,100.0,0.0,B
A65,3,1,2,0,33.33,66.67,0.0,B
A66,1,0,1,0,0.0,100.0,0.0,B
A67,1,0,1,0,0.0,100.0,0.0,B
A68,3,1,1,1,33.33,33.33,33.33,A
A69,3,0,2,1,0.0,66.67,33.33,B
A70,4,1,3,0,25.0,75.0,0.0,B
A71,1,0,0,1,0.0,0.0,100.0,C
A72,2,0,2,0,0.0,100.0,0.0,B
A73,5,0,5,0,0.0,100.0,0.0,B
A74,5,1,4,0,20.0,80.0,0.0,B
A75,8,0,7,1,0.0,87.5,12.5,B
A76,3,0,2,1,0.0,66.67,33.33,B
A77,9,0,6,3,0.0,66.67,33.33,B
A78,4,1,2,1,25.0,50.0,25.0,B
A79,18,5,8,5,27.78,44.44,27.78,B
A80,5,1,3,1,20.0,60.0,20.0,B
A81,1,0,1,0,0.0,100.0,0.0,B
A82,15,1,14,0,6.67,93.33,0.0,B
A83,1,0,0,1,0.0,0.0,100.0,C
A84,1,0,0,1,0.0,0.0,100.0,C
A85,10,3,5,2,30.0,50.0,20.0,B
A86,1,0,1,0,0.0,100.0,0.0,B
A87,3,1,2,0,33.33,66.67,0.0,B
A88,3,0,2,1,0.0,66.67,33.33,B
A89,4,1,3,0,25.0,75.0,0.0,B
A90,2,0,2,0,0.0,100.0,0.0,B
A91,4,1,1,2,25.0,25.0,50.0,C
A92,4,0,4,0,0.0,100.0,0.0,B
A93,3,0,3,0,0.0,100.0,0.0,B
A94,6,1,5,0,16.67,83.33,0.0,B
A95,1,0,0,1,0.0,0.0,100.0,C
A96,1,0,1,0,0.0,100.0,0.0,B
A97,14,5,8,1,35.71,57.14,7.14,B
